Song,Artists,Weeks at no 1,Average_Streams (Millions),Date_Published,Date_Achieved,
WAP,Cardi B,1,40.3,2020-08-07,2020-08-20,
Savage Love (Laxed – Siren Beat),Jawsh 685,2,32.2,2020-06-11,2020-08-06,
Cardigan,Taylor Swift,1,35.7,2020-07-24,2020-07-30,
Rockstar,DaBaby,7,37.4,2020-04-24,2020-06-04,
Rain on Me,Lady Gaga,1,41.6,2020-05-22,2020-05-28,
The Scotts,Travis Scott,1,48.4,2020-04-23,2020-04-30,
Blinding Lights,The Weeknd,13,42,2019-11-29,2020-02-27,
The Box,Roddy Ricch,1,46.2,2019-12-06,2020-02-13,
Lose You to Love Me,Selena Gomez,1,47.2,2019-10-23,2019-10-31,
Dance Monkey,Tones and I,17,46.2,2019-05-10,2019-10-17,
Highest in the Room,Travis Scott,1,48.2,2019-10-04,2019-10-10,
Circles,Post Malone,1,43.4,2019-08-30,2019-09-12,
Señorita,Shawn Mendes,14,53,2019-06-21,2019-06-27,
I Don't Care,Ed Sheeran,6,44,2019-05-10,2019-05-16,
Bad Guy,Billie Eilish,6,42.6,2019-03-29,2019-04-04,
7 Rings,Ariana Grande,10,47.9,2019-01-18,2019-01-24,
Sunflower,Post Malone,2,33.6,2018-10-18,2019-01-17,
All I Want for Christmas Is You,Mariah Carey,1,39.6,1994-11-01,2018-12-27,
"Thank U, Next",Ariana Grande,8,44.2,2018-11-03,2018-11-08,
Mia,Bad Bunny,1,39.6,2018-10-12,2018-10-18,
Taki Taki,DJ Snake,4,35.9,2018-09-28,2018-10-04,
I Love It,Kanye West,3,32.9,2018-09-07,2018-09-13,
Lucky You,Eminem,1,34.9,2018-08-31,2018-09-06,
In My Feelings,Drake,8,51.5,2018-06-29,2018-07-12,
Nonstop,,43.7,46.7,,,
Sad!,XXXTentacion,2,35.8,2018-03-02,2018-06-21,
This Is America,Childish Gambino,1,34.9,2018-05-05,2018-05-21,
Better Now,Post Malone,6,32.9,2018-04-27,2018-05-03,
Nice for What,Drake,2,40.7,2018-04-06,2018-04-19,
Call Out My Name,The Weeknd,1,40.6,2018-03-30,2018-04-05,
God's Plan,Drake,11,47.8,2018-01-19,2018-01-25,
Havana,Camila Cabello,1,30.9,2017-08-03,2018-01-18,
Rockstar,Post Malone,17,38.6,2017-09-15,2017-09-21,
Too Good at Goodbyes,Sam Smith,1,30.7,2017-09-08,2017-09-14,
Look What You Made Me Do,Taylor Swift,2,39.8,2017-08-24,2017-08-31,
Mi Gente,J Balvin,4,32.1,2017-06-30,2017-08-03,
Despacito (Remix),Luis Fonsi,14,45.9,2017-04-17,2017-04-27,
Humble,Kendrick Lamar,1,41.4,2017-03-30,2017-04-20,
Shape of You,Ed Sheeran,14,51.9,2017-01-06,2017-01-12,
Starboy,The Weeknd,6,29.2,2016-09-21,2016-12-01,
Black Beatles,Rae Sremmurd,2,30.3,2016-09-15,2016-11-11,
Closer,The Chainsmokers,11,34.1,2016-07-29,2016-09-01,
Cold Water,Major Lazer,5,37,2016-07-22,2016-07-28,
One Dance,Drake,14,39.8,2016-04-05,2016-04-21,
Work,Rihanna,9,28,2016-01-27,2016-02-18,
Pillowtalk,Zayn,2,26.3,2016-01-29,2016-02-04,
Love Yourself,Justin Bieber,3,24.4,2015-11-08,2016-01-14,
Sorry,,28.8,23.9,2015-10-24,2015-11-19,
Hello,Adele,3,41.9,2015-10-23,2015-10-29,
What Do You Mean?,Justin Bieber,8,24.1,2015-08-28,2015-09-03,
Can't Feel My Face,The Weeknd,1,15.9,2015-06-08,2015-08-27,
Drag Me Down,One Direction,1,17.3,2015-07-31,2015-08-06,
Lean On,Major Lazer,10,14.8,2015-03-02,2015-06-04,
See You Again,Wiz Khalifa,6,19,2015-03-10,2015-04-30,
FourFiveSeconds,Rihanna,3,15.2,2015-01-24,2015-03-08,
Uptown Funk,Mark Ronson,8,14.7,2014-11-10,2015-01-11,
Take Me to Church,Hozier,5,12.2,2013-09-13,2014-12-07,
Thinking Out Loud,Ed Sheeran,2,10,2014-06-21,2014-11-23,
Shake It Off,Taylor Swift,4,11.5,2014-08-18,2014-10-12,
Blame,Calvin Harris,6,10.7,2014-09-05,2014-09-14,
Rude,Magic!,8,9,2013-10-11,2014-07-20,
Summer,Calvin Harris,10,8.6,2014-03-14,2014-05-11,
Rather Be,Clean Bandit,7,8.2,2014-01-17,2014-03-23,
Dark Horse,Katy Perry,5,7.5,2013-12-17,2014-02-16,
Timber,Pitbull,6,6.8,2013-10-07,2014-01-05,
The Monster,Eminem,8,7.6,2013-10-29,2013-11-10,
Royals,Lorde,1,5.2,2013-06-03,2013-11-03,
Wrecking Ball,Miley Cyrus,5,5.6,2013-08-25,2013-09-29,
